method,day_index,slot,raw_action,shielded_action,mapped_servers
aci_dqn,1064,0,2,2,19
aci_dqn,1064,1,2,2,19
aci_dqn,1064,2,6,6,42
aci_dqn,1064,3,6,6,42
aci_dqn,1064,4,6,6,42
aci_dqn,1064,5,1,1,17
aci_dqn,1064,6,1,1,14
aci_dqn,1064,7,1,1,14
aci_dqn,1064,8,1,1,14
aci_dqn,1064,9,1,1,14
aci_dqn,1064,10,1,1,14
aci_dqn,1064,11,1,1,14
aci_dqn,1064,12,1,1,14
aci_dqn,1064,13,6,6,39
aci_dqn,1064,14,6,6,42
aci_dqn,1064,15,6,6,42
aci_dqn,1064,16,6,6,42
aci_dqn,1064,17,6,6,42
aci_dqn,1064,18,6,6,42
aci_dqn,1064,19,6,6,42
aci_dqn,1064,20,6,6,42
aci_dqn,1064,21,6,6,42
aci_dqn,1064,22,6,6,42
aci_dqn,1064,23,6,6,42
aci_dqn,1064,24,6,6,42
aci_dqn,1064,25,6,6,42
aci_dqn,1064,26,6,6,42
aci_dqn,1064,27,6,6,42
aci_dqn,1064,28,3,3,25
aci_dqn,1064,29,3,3,25
aci_dqn,1064,30,3,3,25
aci_dqn,1064,31,3,3,25
aci_dqn,1064,32,1,1,14
aci_dqn,1064,33,1,1,14
aci_dqn,1064,34,1,1,14
aci_dqn,1064,35,1,1,14
aci_dqn,1064,36,0,0,8
aci_dqn,1064,37,0,0,8
aci_dqn,1064,38,0,0,8
aci_dqn,1064,39,0,0,8
aci_dqn,1064,40,0,0,8
aci_dqn,1064,41,0,0,8
aci_dqn,1064,42,0,0,8
aci_dqn,1064,43,0,0,8
aci_dqn,1064,44,0,0,8
aci_dqn,1064,45,0,0,8
aci_dqn,1064,46,0,0,8
aci_dqn,1064,47,0,0,8
aci_dqn,1064,48,0,0,8
aci_dqn,1064,49,0,0,8
aci_dqn,1064,50,0,0,8
aci_dqn,1064,51,1,1,14
aci_dqn,1064,52,1,1,14
aci_dqn,1064,53,7,7,39
aci_dqn,1064,54,3,3,25
aci_dqn,1064,55,0,0,8
aci_dqn,1064,56,0,0,8
aci_dqn,1064,57,0,0,8
aci_dqn,1064,58,0,0,8
aci_dqn,1064,59,0,0,8
aci_dqn,1064,60,1,1,14
aci_dqn,1064,61,1,1,14
aci_dqn,1064,62,6,6,39
aci_dqn,1064,63,6,6,42
aci_dqn,1064,64,6,6,42
aci_dqn,1064,65,6,6,42
aci_dqn,1064,66,6,6,42
aci_dqn,1064,67,2,2,19
aci_dqn,1064,68,2,2,19
aci_dqn,1064,69,2,2,19
aci_dqn,1064,70,2,2,19
aci_dqn,1064,71,2,2,19
aci_dqn,1064,72,0,0,8
aci_dqn,1064,73,0,0,8
aci_dqn,1064,74,0,0,8
aci_dqn,1064,75,0,0,8
aci_dqn,1064,76,0,0,8
aci_dqn,1064,77,0,0,8
aci_dqn,1064,78,0,0,8
aci_dqn,1064,79,0,0,8
aci_dqn,1064,80,0,0,8
aci_dqn,1064,81,0,0,8
