method,day_index,slot,raw_action,shielded_action,mapped_servers
dqn,1064,0,0,0,8
dqn,1064,1,0,0,8
dqn,1064,2,0,0,8
dqn,1064,3,0,0,8
dqn,1064,4,0,0,8
dqn,1064,5,0,0,8
dqn,1064,6,0,0,8
dqn,1064,7,0,0,8
dqn,1064,8,0,0,8
dqn,1064,9,0,0,8
dqn,1064,10,0,0,8
dqn,1064,11,0,0,8
dqn,1064,12,0,0,8
dqn,1064,13,0,0,8
dqn,1064,14,0,0,8
dqn,1064,15,0,0,8
dqn,1064,16,0,0,8
dqn,1064,17,0,0,8
dqn,1064,18,0,0,8
dqn,1064,19,0,0,8
dqn,1064,20,0,0,8
dqn,1064,21,0,0,8
dqn,1064,22,18,18,33
dqn,1064,23,13,13,58
dqn,1064,24,13,13,81
dqn,1064,25,13,13,81
dqn,1064,26,13,13,81
dqn,1064,27,13,13,81
dqn,1064,28,9,9,58
dqn,1064,29,3,3,33
dqn,1064,30,1,1,14
dqn,1064,31,1,1,14
dqn,1064,32,0,0,8
dqn,1064,33,0,0,8
dqn,1064,34,1,1,14
dqn,1064,35,1,1,14
dqn,1064,36,1,1,14
dqn,1064,37,1,1,14
dqn,1064,38,1,1,14
dqn,1064,39,1,1,14
dqn,1064,40,0,0,8
dqn,1064,41,0,0,8
dqn,1064,42,0,0,8
dqn,1064,43,0,0,8
dqn,1064,44,0,0,8
dqn,1064,45,0,0,8
dqn,1064,46,0,0,8
dqn,1064,47,0,0,8
dqn,1064,48,1,1,14
dqn,1064,49,1,1,14
dqn,1064,50,1,1,14
dqn,1064,51,1,1,14
dqn,1064,52,18,18,39
dqn,1064,53,4,4,30
dqn,1064,54,4,4,30
dqn,1064,55,3,3,25
dqn,1064,56,1,1,14
dqn,1064,57,0,0,8
dqn,1064,58,0,0,8
dqn,1064,59,0,0,8
dqn,1064,60,0,0,8
dqn,1064,61,0,0,8
dqn,1064,62,0,0,8
dqn,1064,63,1,1,14
dqn,1064,64,1,1,14
dqn,1064,65,1,1,14
dqn,1064,66,1,1,14
dqn,1064,67,1,1,14
dqn,1064,68,1,1,14
dqn,1064,69,1,1,14
dqn,1064,70,1,1,14
dqn,1064,71,1,1,14
dqn,1064,72,9,9,39
dqn,1064,73,1,1,14
dqn,1064,74,1,1,14
dqn,1064,75,1,1,14
dqn,1064,76,1,1,14
dqn,1064,77,1,1,14
dqn,1064,78,1,1,14
dqn,1064,79,1,1,14
dqn,1064,80,0,0,8
dqn,1064,81,0,0,8
dqn,1064,82,0,0,8
dqn,1064,83,0,0,8
dqn,1064,84,1,1,14
dqn,1064,85,0,0,8
dqn,1064,86,0,0,8
dqn,1064,87,0,0,8
dqn,1064,88,4,4,30
dqn,1064,89,3,3,25
dqn,1064,90,3,3,25
dqn,1064,91,3,3,25
dqn,1064,92,3,3,25
dqn,1064,93,3,3,25
dqn,1064,94,3,3,25
dqn,1064,95,3,3,25
dqn,1065,0,0,0,8
dqn,1065,1,0,0,8
dqn,1065,2,0,0,8
dqn,1065,3,0,0,8
dqn,1065,4,0,0,8
dqn,1065,5,0,0,8
dqn,1065,6,0,0,8
dqn,1065,7,0,0,8
dqn,1065,8,0,0,8
dqn,1065,9,0,0,8
dqn,1065,10,0,0,8
dqn,1065,11,0,0,8
dqn,1065,12,0,0,8
dqn,1065,13,0,0,8
dqn,1065,14,0,0,8
dqn,1065,15,0,0,8
dqn,1065,16,0,0,8
dqn,1065,17,0,0,8
dqn,1065,18,0,0,8
dqn,1065,19,0,0,8
dqn,1065,20,0,0,8
dqn,1065,21,18,18,33
dqn,1065,22,15,15,58
dqn,1065,23,13,13,81
dqn,1065,24,13,13,81
dqn,1065,25,13,13,81
dqn,1065,26,13,13,81
dqn,1065,27,9,9,58
dqn,1065,28,3,3,33
dqn,1065,29,1,1,14
dqn,1065,30,1,1,14
dqn,1065,31,1,1,14
dqn,1065,32,0,0,8
dqn,1065,33,0,0,8
dqn,1065,34,1,1,14
dqn,1065,35,1,1,14
dqn,1065,36,1,1,14
dqn,1065,37,1,1,14
dqn,1065,38,1,1,14
dqn,1065,39,1,1,14
dqn,1065,40,0,0,8
dqn,1065,41,0,0,8
dqn,1065,42,0,0,8
dqn,1065,43,0,0,8
dqn,1065,44,0,0,8
dqn,1065,45,0,0,8
dqn,1065,46,0,0,8
dqn,1065,47,0,0,8
dqn,1065,48,1,1,14
dqn,1065,49,1,1,14
dqn,1065,50,1,1,14
dqn,1065,51,1,1,14
dqn,1065,52,1,1,14
dqn,1065,53,1,1,14
dqn,1065,54,4,4,30
dqn,1065,55,3,3,25
dqn,1065,56,1,1,14
dqn,1065,57,0,0,8
dqn,1065,58,0,0,8
dqn,1065,59,0,0,8
dqn,1065,60,0,0,8
dqn,1065,61,0,0,8
dqn,1065,62,0,0,8
dqn,1065,63,1,1,14
dqn,1065,64,1,1,14
dqn,1065,65,4,4,30
dqn,1065,66,4,4,30
dqn,1065,67,4,4,30
dqn,1065,68,1,1,14
dqn,1065,69,1,1,14
dqn,1065,70,1,1,14
dqn,1065,71,1,1,14
dqn,1065,72,1,1,14
dqn,1065,73,1,1,14
dqn,1065,74,1,1,14
dqn,1065,75,1,1,14
dqn,1065,76,1,1,14
dqn,1065,77,1,1,14
dqn,1065,78,1,1,14
dqn,1065,79,1,1,14
dqn,1065,80,0,0,8
dqn,1065,81,0,0,8
dqn,1065,82,0,0,8
dqn,1065,83,0,0,8
dqn,1065,84,0,0,8
dqn,1065,85,0,0,8
dqn,1065,86,0,0,8
dqn,1065,87,0,0,8
dqn,1065,88,4,4,30
dqn,1065,89,4,4,30
dqn,1065,90,3,3,25
dqn,1065,91,3,3,25
dqn,1065,92,3,3,25
dqn,1065,93,3,3,25
dqn,1065,94,3,3,25
dqn,1065,95,3,3,25
dqn,1066,0,0,0,8
dqn,1066,1,0,0,8
dqn,1066,2,0,0,8
dqn,1066,3,0,0,8
dqn,1066,4,0,0,8
dqn,1066,5,0,0,8
dqn,1066,6,0,0,8
dqn,1066,7,0,0,8
dqn,1066,8,0,0,8
dqn,1066,9,0,0,8
dqn,1066,10,0,0,8
dqn,1066,11,0,0,8
dqn,1066,12,0,0,8
dqn,1066,13,0,0,8
dqn,1066,14,0,0,8
dqn,1066,15,0,0,8
dqn,1066,16,0,0,8
dqn,1066,17,0,0,8
dqn,1066,18,0,0,8
dqn,1066,19,0,0,8
dqn,1066,20,0,0,8
dqn,1066,21,18,18,33
dqn,1066,22,13,13,58
dqn,1066,23,13,13,81
dqn,1066,24,13,13,81
dqn,1066,25,13,13,81
dqn,1066,26,13,13,81
dqn,1066,27,9,9,58
dqn,1066,28,7,7,47
dqn,1066,29,3,3,25
dqn,1066,30,1,1,14
dqn,1066,31,1,1,14
dqn,1066,32,0,0,8
dqn,1066,33,0,0,8
dqn,1066,34,1,1,14
dqn,1066,35,1,1,14
dqn,1066,36,1,1,14
dqn,1066,37,1,1,14
dqn,1066,38,1,1,14
dqn,1066,39,1,1,14
dqn,1066,40,0,0,8
dqn,1066,41,0,0,8
dqn,1066,42,0,0,8
dqn,1066,43,0,0,8
dqn,1066,44,0,0,8
dqn,1066,45,0,0,8
dqn,1066,46,0,0,8
dqn,1066,47,0,0,8
dqn,1066,48,1,1,14
dqn,1066,49,1,1,14
dqn,1066,50,1,1,14
dqn,1066,51,1,1,14
dqn,1066,52,18,18,39
dqn,1066,53,4,4,30
dqn,1066,54,4,4,30
dqn,1066,55,3,3,25
dqn,1066,56,1,1,14
dqn,1066,57,0,0,8
dqn,1066,58,0,0,8
dqn,1066,59,0,0,8
dqn,1066,60,0,0,8
dqn,1066,61,0,0,8
dqn,1066,62,0,0,8
dqn,1066,63,1,1,14
dqn,1066,64,1,1,14
dqn,1066,65,4,4,30
dqn,1066,66,4,4,30
dqn,1066,67,1,1,14
dqn,1066,68,1,1,14
dqn,1066,69,1,1,14
dqn,1066,70,1,1,14
dqn,1066,71,1,1,14
dqn,1066,72,1,1,14
dqn,1066,73,1,1,14
dqn,1066,74,1,1,14
dqn,1066,75,1,1,14
dqn,1066,76,1,1,14
dqn,1066,77,1,1,14
dqn,1066,78,1,1,14
dqn,1066,79,1,1,14
dqn,1066,80,0,0,8
dqn,1066,81,0,0,8
dqn,1066,82,0,0,8
dqn,1066,83,0,0,8
dqn,1066,84,1,1,14
dqn,1066,85,1,1,14
dqn,1066,86,0,0,8
dqn,1066,87,0,0,8
dqn,1066,88,1,1,14
dqn,1066,89,3,3,25
dqn,1066,90,3,3,25
dqn,1066,91,3,3,25
dqn,1066,92,3,3,25
dqn,1066,93,3,3,25
