day,P1_tasks,P2_tasks,P3_tasks,total_tasks,P1_work,P2_work,P3_work,total_work,P1_mean_work,P2_mean_work,P3_mean_work
0,0,0,3,3,0.0,0.0,16547.20333333333,16547.20333333333,0.0,0.0,5515.734444444443
1,1,0,3,4,0.12,0.0,78747.77333333333,78747.89333333333,0.12,0.0,26249.25777777778
2,1,0,2,3,0.11,0.0,693.3905555555556,693.5005555555556,0.11,0.0,346.6952777777778
3,0,0,3,3,0.0,0.0,24994.4,24994.4,0.0,0.0,8331.466666666667
4,0,0,12,12,0.0,0.0,215805.6888888889,215805.6888888889,0.0,0.0,21580.568888888887
5,6,0,206,212,0.8466666666666668,0.0,1099413.092777778,1099413.9394444446,0.14111111111111116,0.0,21142.559476495724
6,1555,625,6839,9019,22326.809444444443,3866.011111111111,1815599.8833333333,1841792.7038888892,343.48937606837603,61.3652557319224,18912.498784722222
7,3442,1174,10825,15441,111245.62166666664,134582.07444444447,2993288.1562,3239115.852311111,1158.8085590277776,1416.6534152046786,31180.08496041667
8,1749,1183,11711,14643,99631.6688888889,205557.40333333326,2471800.8966666665,2776989.9688888895,1037.8298842592594,2141.2229513888883,25747.926006944443
9,1063,794,10653,12510,114745.285,6680.64388888889,2313994.0244444446,2435419.953333333,1195.2633854166668,70.32256725146199,24104.1044212963
10,568,1158,7987,9713,41097.05333333332,240035.15388888874,2098085.766,2379217.9732222217,432.6005614035085,2609.0777596618345,21855.060062499997
11,1915,973,8760,11648,27387.380555555552,199445.95666666667,1652661.6836666667,1879495.0208888887,285.2852141203703,2099.4311228070173,17215.22587152778
12,1611,1056,10865,13532,25562.518888888888,208719.01933333324,2265984.936222222,2500266.4744444443,266.2762384259259,2174.156451388888,23604.009752314814
13,1132,1153,10718,13003,2935.165,208286.40635555558,2375252.1099555558,2586473.6813111114,31.22515957446808,2239.6387780167265,24742.209478703706
14,1295,1073,10803,13171,9386.507222222222,209342.64555555553,3282501.0996666662,3501230.252444444,97.77611689814815,2203.606795321637,34192.71978819444
15,1609,1002,11709,14320,8463.499444444446,166313.3054444444,3555400.953333333,3730177.7582222223,88.1614525462963,1827.6187411477408,37035.42659722222
16,1071,1067,10840,12978,6550.549444444445,120346.4933333334,3341887.6679999996,3468784.7107777777,68.2348900462963,1253.6093055555564,34811.329874999996
17,1235,872,8580,10687,6241.845000000001,175853.38666666666,2701269.7561111115,2883364.987777778,65.01921875000001,1890.896630824373,28138.22662615741
18,1330,1009,10011,12350,10034.088333333335,124048.39444444446,2433825.472222222,2567907.9549999996,104.52175347222224,1305.7725730994152,25352.348668981478
19,1344,1126,10555,13025,8859.613888888887,282200.87444444443,3137934.536111111,3428995.0244444446,92.2876446759259,2939.5924421296295,32686.818084490737
20,978,1086,10485,12549,6477.852222222221,186922.9544444444,2982424.2862222223,3175825.0928888884,71.97613580246913,1947.1141087962958,31066.91964814815
21,911,1154,10578,12643,8311.94,312039.0805555556,3125546.1916666664,3445897.2122222227,89.37569892473117,3250.4070891203705,32557.772829861107
22,989,1093,11368,13450,8818.756666666666,102937.26733333332,2689992.264888889,2801748.2888888884,91.8620486111111,1095.0773120567376,28020.752759259263
